City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description
446,Kabo,7.6994,18.629,73.42,26,87,1.61,CF,2021-11-28 05:48:32,overcast clouds
447,Kitchener,43.4254,-80.5112,26.37,93,90,3.44,CA,2021-11-28 05:45:04,overcast clouds
448,Manitouwadge,49.1215,-85.8403,27.32,98,100,1.83,CA,2021-11-28 05:48:32,light snow
449,Kingman,35.1894,-114.053,53.08,24,1,3.44,US,2021-11-28 05:43:55,clear sky
450,Doka,13.5167,35.7667,82.94,45,0,12.68,SD,2021-11-28 05:48:32,clear sky
451,Aberdeen,57.1437,-2.0981,34.29,75,72,8.05,GB,2021-11-28 05:46:04,broken clouds
452,Nome,64.5011,-165.4064,-18.33,76,1,0.0,US,2021-11-28 05:48:33,clear sky
453,Letterkenny,54.95,-7.7333,38.95,94,100,4.03,IE,2021-11-28 05:48:34,light rain
454,Yatou,37.15,122.3833,53.46,59,100,11.45,CN,2021-11-28 05:49:34,overcast clouds
455,Villanueva,15.3167,-88.0,68.99,88,20,4.61,HN,2021-11-28 05:49:34,few clouds
456,North Platte,41.1239,-100.7654,37.29,65,1,0.0,US,2021-11-28 05:49:35,clear sky
457,Podgorica,42.4411,19.2636,58.5,82,75,13.8,ME,2021-11-28 05:49:35,broken clouds
458,Gillette,44.2911,-105.5022,38.32,56,1,17.27,US,2021-11-28 05:49:35,clear sky
459,Qui Nhon,13.7667,109.2333,77.29,93,100,13.58,VN,2021-11-28 05:49:36,moderate rain
460,Tecoanapa,16.5167,-98.75,75.15,84,34,4.81,MX,2021-11-28 05:49:36,scattered clouds
461,Acapulco,16.8634,-99.8901,76.87,79,14,3.49,MX,2021-11-28 05:49:37,few clouds
462,Bairiki,1.3292,172.9752,86.0,66,20,12.66,KI,2021-11-28 05:49:37,few clouds
463,Eregli,37.5133,34.0467,56.66,53,100,4.79,TR,2021-11-28 05:49:38,overcast clouds
464,Port-Gentil,-0.7193,8.7815,76.96,94,40,2.3,GA,2021-11-28 05:49:38,scattered clouds
465,Tocopilla,-22.092,-70.1979,63.63,74,37,4.72,CL,2021-11-28 05:49:38,scattered clouds
466,Yabelo,4.8833,38.0833,66.92,59,86,19.1,ET,2021-11-28 05:49:39,overcast clouds
467,Alekseyevsk,57.8406,108.3492,14.14,92,100,11.59,RU,2021-11-28 05:49:39,light snow
468,Sayhat,26.4852,50.0405,75.18,41,0,16.98,SA,2021-11-28 05:49:39,clear sky
469,Najran,17.4924,44.1277,65.05,33,1,5.28,SA,2021-11-28 05:49:40,clear sky
470,Broken Hill,-31.95,141.4333,74.91,31,90,16.11,AU,2021-11-28 05:49:40,overcast clouds
471,Tarpon Springs,28.1461,-82.7568,58.95,81,1,0.0,US,2021-11-28 05:44:59,clear sky
472,Meulaboh,4.1363,96.1285,77.83,91,100,15.1,ID,2021-11-28 05:49:40,overcast clouds
473,Saint-Georges,12.0564,-61.7485,80.28,83,20,2.3,GD,2021-11-28 05:48:27,few clouds
474,Maraba,-5.3686,-49.1178,77.18,100,20,0.0,BR,2021-11-28 05:49:41,few clouds
475,Touros,-5.1989,-35.4608,79.7,73,95,10.42,BR,2021-11-28 05:49:42,overcast clouds
476,Uttaradit,17.6667,100.5,81.36,44,45,1.95,TH,2021-11-28 05:49:42,scattered clouds
477,Adzope,6.1069,-3.8619,72.19,98,54,1.66,CI,2021-11-28 05:49:42,broken clouds
478,Namibe,-15.1961,12.1522,68.52,74,60,2.15,AO,2021-11-28 05:49:43,broken clouds
479,Yala,6.3333,101.25,83.55,96,100,1.81,TH,2021-11-28 05:49:43,moderate rain
480,Port Lincoln,-34.7333,135.8667,68.56,55,2,11.1,AU,2021-11-28 05:49:43,clear sky
481,Barstow,34.8986,-117.0228,47.75,9,0,1.12,US,2021-11-28 05:46:45,clear sky
482,Betong,5.7743,101.0723,76.75,95,100,1.97,TH,2021-11-28 05:49:44,light rain
483,Maceio,-9.6658,-35.7353,78.24,88,20,4.61,BR,2021-11-28 05:49:44,moderate rain
484,George,-33.963,22.4617,67.55,64,20,6.91,ZA,2021-11-28 05:49:45,few clouds
485,Warora,20.2333,79.0,79.88,32,54,10.27,IN,2021-11-28 05:49:45,broken clouds
486,Natal,-5.795,-35.2094,79.45,89,40,3.44,BR,2021-11-28 05:49:46,scattered clouds
487,Goure,13.9835,10.2704,69.57,19,90,8.23,NE,2021-11-28 05:49:46,overcast clouds
488,Peniche,39.3558,-9.3811,49.48,68,43,20.69,PT,2021-11-28 05:49:46,scattered clouds
489,Lubao,14.9167,120.55,89.67,93,100,12.03,PH,2021-11-28 05:49:47,overcast clouds
490,Iberia,29.9502,-91.7507,53.67,87,90,3.44,US,2021-11-28 05:49:47,light rain
491,Cartagena,10.3997,-75.5144,78.42,94,0,3.44,CO,2021-11-28 05:49:47,clear sky
492,Awbari,26.5921,12.7805,69.48,26,100,14.97,LY,2021-11-28 05:49:48,overcast clouds
493,Emerald,-23.5333,148.1667,91.54,49,40,6.91,AU,2021-11-28 05:45:21,scattered clouds
494,Houma,29.5958,-90.7195,55.4,66,100,3.2,US,2021-11-28 05:49:48,overcast clouds
495,Muchkapskiy,51.8513,42.4717,37.02,97,100,10.49,RU,2021-11-28 05:49:49,heavy intensity rain
496,Abashiri,44.0213,144.2697,41.29,65,40,8.05,JP,2021-11-28 05:49:49,scattered clouds
497,Luwuk,-0.9516,122.7875,81.73,84,91,2.91,ID,2021-11-28 05:49:49,overcast clouds
498,Adrar,20.5022,-10.0711,59.9,43,52,14.41,MR,2021-11-28 05:49:50,broken clouds
499,Troitskoye,52.9821,84.6757,23.58,72,100,17.0,RU,2021-11-28 05:49:50,overcast clouds
500,Vadinsk,53.6916,43.0574,34.54,100,100,13.29,RU,2021-11-28 05:50:50,overcast clouds
501,Karratha,-20.7377,116.8463,95.5,29,0,20.04,AU,2021-11-28 05:50:51,clear sky
502,Gornopravdinsk,60.05,69.9,23.68,95,92,8.52,RU,2021-11-28 05:50:51,overcast clouds
503,Jiaohe,43.7286,127.3447,32.81,78,86,1.95,CN,2021-11-28 05:50:51,overcast clouds
504,Pisco,-13.7,-76.2167,62.65,88,0,0.0,PE,2021-11-28 05:50:52,clear sky
505,Whyalla,-33.0333,137.5833,80.49,24,0,11.5,AU,2021-11-28 05:50:52,clear sky
506,Dzhebariki-Khaya,62.2167,135.8,-0.4,98,100,2.91,RU,2021-11-28 05:50:53,light snow
507,Bhabua,25.05,83.6167,77.34,36,37,5.28,IN,2021-11-28 05:50:53,scattered clouds
508,Sulphur,30.2366,-93.3774,51.8,90,90,0.0,US,2021-11-28 05:50:53,moderate rain
509,Oneonta,42.4529,-75.0638,25.7,78,89,4.0,US,2021-11-28 05:50:54,overcast clouds
510,North Bend,43.4065,-124.2243,55.31,100,90,5.75,US,2021-11-28 05:50:54,mist
511,Ahipara,-35.1667,173.1667,65.7,75,95,4.21,NZ,2021-11-28 05:50:54,overcast clouds
